day_of_week,date,nb_customers_on_day,open,promotion,school_holiday,state_holiday_a,state_holiday_b,state_holiday_c,predictions
7,2015,0,0,0,0,False,False,False,0.0
7,2013,0,0,0,0,False,False,False,0.0
3,2014,657,1,1,0,False,False,False,7070.438556422192
2,2013,862,1,0,0,False,False,False,6454.583791781746
3,2014,591,1,1,0,False,False,False,6300.415377129563
4,2014,569,1,0,0,False,False,False,4808.800108633282
1,2015,321,1,1,0,False,False,False,4158.568222222222
6,2014,1367,1,0,0,False,False,False,8804.126323953824
4,2015,0,0,1,0,True,False,False,0.0
2,2015,546,1,1,0,False,False,False,6771.228098457098
4,2015,968,1,0,1,False,False,False,8305.302809523813
4,2013,472,1,0,0,False,False,False,4276.172288099586
7,2014,0,0,0,0,False,False,False,0.0
1,2013,965,1,0,0,False,False,False,7161.805674603177
2,2015,804,1,0,1,False,False,False,7835.460243867245
3,2013,499,1,1,1,False,False,False,5830.81211480367
1,2013,1337,1,1,1,False,False,False,11620.297321428576
3,2014,560,1,0,0,False,False,False,4916.032894266519
3,2014,461,1,0,1,False,False,False,4373.448517343766
3,2014,866,1,1,0,False,False,False,8541.543433567953
7,2015,0,0,0,0,False,False,False,0.0
1,2014,1367,1,1,0,False,False,False,12689.314814574318
2,2013,642,1,1,0,False,False,False,6675.799430236317
5,2013,0,0,1,1,False,True,False,0.0
6,2013,1139,1,0,0,False,False,False,9330.324905955156
6,2014,0,0,0,0,False,False,False,0.0
2,2013,515,1,1,1,False,False,False,6936.192166666664
3,2013,355,1,1,1,False,False,False,3507.6077976190472
1,2015,1063,1,1,0,False,False,False,12974.382666666666
7,2013,0,0,0,0,False,False,False,0.0
4,2015,562,1,1,0,False,False,False,6053.738808034758
7,2014,0,0,0,0,False,False,False,0.0
2,2013,927,1,1,1,False,False,False,8433.550896464645
6,2014,894,1,0,0,False,False,False,8375.421073931275
2,2015,594,1,0,0,False,False,False,4951.105982350982
2,2013,533,1,1,0,False,False,False,6155.433384466009
7,2015,0,0,0,0,False,False,False,0.0
2,2013,709,1,1,0,False,False,False,7826.012497438173
1,2013,484,1,1,0,False,False,False,6265.195388973769
4,2014,435,1,1,0,False,False,False,5146.661194416692
2,2015,1239,1,1,0,False,False,False,10510.73473809524
6,2014,373,1,0,0,False,False,False,3381.586271955821
4,2013,642,1,0,0,False,False,False,5732.527514714387
3,2013,421,1,1,0,False,False,False,4227.089878558199
5,2014,394,1,0,0,False,False,False,4096.869166004273
5,2015,761,1,1,0,False,False,False,7907.667459537197
3,2013,627,1,0,0,False,False,False,5438.69783774802
2,2015,731,1,1,0,False,False,False,7379.548360132901
5,2014,941,1,1,1,False,False,False,8286.762163419913
4,2014,1157,1,1,0,False,False,False,10801.289809523809
1,2014,720,1,1,0,False,False,False,8306.0149676228
5,2014,697,1,0,0,False,False,False,6434.008586705779
6,2013,534,1,0,0,False,False,False,5085.808521527196
6,2014,333,1,0,0,False,False,False,3013.5103247958073
2,2013,430,1,1,1,False,False,False,4351.8447229437215
